epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4825,2.58703,2.88068,2.98831,0.24798,0.31814,0.18092,0.06841,2.14954,3.34456,2.63861,0.00331927,0.00331927,0.0701266
2,65.7901,2.12956,2.51,2.4844,0.3544,0.23292,0.20165,0.07737,2.09222,2.88806,2.54877,0.0066461,0.0066461,0.0401201
3,86.5697,2.00041,2.28791,2.32951,0.15616,0.5099,0.17521,0.05578,2.26643,3.16793,3.20239,0.00994696,0.00994696,0.0100876
4,106.953,1.92094,2.16958,2.23093,0.50892,0.48706,0.47577,0.21457,1.75532,1.89763,2.186,0.00991232,0.00991232,0.00991232
5,127.123,1.87612,2.03808,2.17454,0.5611,0.50265,0.59318,0.29679,1.71143,1.63683,2.14388,0.00984449,0.00984449,0.00984449
6,147.747,1.82197,1.92184,2.12392,0.58641,0.5517,0.6185,0.29958,1.64884,1.60534,2.10559,0.00975773,0.00975773,0.00975773
7,168.247,1.79091,1.82008,2.07883,0.64462,0.61187,0.70023,0.34783,1.58282,1.45078,2.00984,0.00965239,0.00965239,0.00965239
8,188.451,1.74544,1.75693,2.03115,0.58218,0.74165,0.68939,0.34398,1.6355,1.34216,2.04038,0.00952889,0.00952889,0.00952889
9,208.909,1.71422,1.69541,1.99395,0.50459,0.77501,0.71562,0.35833,1.61381,1.34893,1.96921,0.00938772,0.00938772,0.00938772
10,229.053,1.6895,1.63808,1.97658,0.68673,0.67578,0.685,0.34381,1.55947,1.36682,1.95165,0.00922942,0.00922942,0.00922942
11,249.241,1.66621,1.60589,1.93558,0.62895,0.76431,0.68884,0.35652,1.64886,1.33933,2.03374,0.00905463,0.00905463,0.00905463
12,269.284,1.67623,1.62798,1.95265,0.60059,0.72548,0.73828,0.36935,1.60476,1.51623,1.95035,0.00886404,0.00886404,0.00886404
13,289.992,1.66159,1.57115,1.94545,0.74019,0.73173,0.77799,0.41987,1.51332,1.16453,1.878,0.00865839,0.00865839,0.00865839
14,310.447,1.64769,1.53809,1.917,0.66035,0.70175,0.75985,0.39707,1.60516,1.30732,1.96849,0.00843851,0.00843851,0.00843851
15,330.859,1.64868,1.51759,1.91932,0.58227,0.76505,0.74528,0.39678,1.54995,1.23081,1.92066,0.00820525,0.00820525,0.00820525
16,351.342,1.63882,1.49579,1.90433,0.64371,0.8047,0.77028,0.41951,1.50411,1.11911,1.89141,0.00795954,0.00795954,0.00795954
17,372.045,1.63892,1.49335,1.89489,0.79787,0.70147,0.79446,0.41628,1.56745,1.1475,1.93289,0.00770234,0.00770234,0.00770234
18,392.005,1.60383,1.44461,1.87087,0.68118,0.7929,0.77377,0.4422,1.47213,1.11895,1.80738,0.00743468,0.00743468,0.00743468
19,412.231,1.59632,1.41882,1.86394,0.71891,0.75715,0.81,0.45829,1.48252,1.08898,1.85413,0.00715761,0.00715761,0.00715761
20,432.429,1.59384,1.4117,1.8575,0.70239,0.74092,0.79948,0.44839,1.54786,1.16015,1.90084,0.00687222,0.00687222,0.00687222
21,452.467,1.55638,1.36005,1.82496,0.78253,0.74539,0.8056,0.46567,1.44675,1.01656,1.77573,0.00657963,0.00657963,0.00657963
22,474.022,1.56898,1.37071,1.83438,0.71158,0.78485,0.8285,0.49156,1.45865,1.01384,1.79774,0.00628101,0.00628101,0.00628101
23,494.201,1.54674,1.31946,1.81874,0.68875,0.79459,0.80131,0.45216,1.52402,1.07298,1.8576,0.00597754,0.00597754,0.00597754
24,514.428,1.53761,1.31497,1.80734,0.70017,0.82432,0.80265,0.46746,1.43919,0.99537,1.75845,0.0056704,0.0056704,0.0056704
25,534.451,1.51129,1.27933,1.78611,0.72324,0.8183,0.844,0.48824,1.44473,0.99987,1.74481,0.00536081,0.00536081,0.00536081
26,554.347,1.5259,1.31483,1.80545,0.72036,0.80978,0.8238,0.4762,1.43534,0.9952,1.75265,0.00505,0.00505,0.00505
27,574.224,1.50819,1.24255,1.77506,0.64583,0.89434,0.82627,0.48965,1.42386,0.98204,1.74415,0.00473919,0.00473919,0.00473919
28,594.232,1.49733,1.24452,1.76825,0.72389,0.81579,0.83759,0.49482,1.41882,1.00238,1.74834,0.0044296,0.0044296,0.0044296
29,614.23,1.49465,1.24715,1.77324,0.70446,0.83366,0.81551,0.48075,1.41336,0.93185,1.7337,0.00412246,0.00412246,0.00412246
30,634.721,1.47514,1.21318,1.75325,0.72705,0.82966,0.84829,0.49941,1.43119,0.96622,1.74961,0.00381899,0.00381899,0.00381899
31,654.807,1.46331,1.20113,1.75909,0.67283,0.90472,0.836,0.50295,1.40575,0.93631,1.75117,0.00352037,0.00352037,0.00352037
32,674.805,1.45523,1.1885,1.74283,0.67898,0.85435,0.85938,0.52158,1.39977,0.94677,1.74726,0.00322778,0.00322778,0.00322778
33,695.016,1.42819,1.16108,1.72295,0.69739,0.87783,0.8553,0.53189,1.3821,0.89274,1.71205,0.00294239,0.00294239,0.00294239
34,714.956,1.42789,1.14087,1.71662,0.72884,0.87986,0.86016,0.51708,1.42506,0.89747,1.74534,0.00266532,0.00266532,0.00266532
35,735.198,1.42866,1.1489,1.72937,0.66983,0.90705,0.83711,0.51404,1.35569,0.89348,1.67503,0.00239766,0.00239766,0.00239766
36,755.122,1.43249,1.14637,1.71776,0.68278,0.89144,0.84565,0.50486,1.38771,0.9171,1.71168,0.00214046,0.00214046,0.00214046
37,775.792,1.42432,1.12452,1.70444,0.66981,0.89429,0.84319,0.5164,1.36355,0.89573,1.6892,0.00189475,0.00189475,0.00189475
38,795.928,1.40572,1.11199,1.6971,0.71032,0.9082,0.86007,0.52505,1.36914,0.8776,1.68591,0.00166149,0.00166149,0.00166149
39,816.346,1.39921,1.10195,1.69598,0.70349,0.88983,0.86537,0.5454,1.3247,0.8757,1.64694,0.00144161,0.00144161,0.00144161
40,837.312,1.38346,1.08957,1.68837,0.69571,0.8784,0.85138,0.52884,1.3526,0.86478,1.67705,0.00123596,0.00123596,0.00123596
41,858.601,1.3086,0.8458,1.66014,0.70917,0.89347,0.84741,0.53389,1.32943,0.87544,1.6611,0.00104537,0.00104537,0.00104537
42,878.349,1.29161,0.81975,1.65495,0.68457,0.91624,0.84421,0.52481,1.34105,0.87015,1.68394,0.000870577,0.000870577,0.000870577
43,898.282,1.27254,0.80464,1.63634,0.69075,0.88898,0.85737,0.53087,1.3503,0.85971,1.68268,0.000712282,0.000712282,0.000712282
44,918.037,1.27239,0.80072,1.63569,0.6874,0.92675,0.85617,0.53251,1.35046,0.84428,1.67192,0.000571106,0.000571106,0.000571106
