epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6062,2.04677,2.55046,2.02336,0.49806,0.14357,0.07629,0.02751,2.38931,4.35354,2.78959,0.00331927,0.00331927,0.0701266
2,56.4281,1.96543,2.23416,1.98078,0.40566,0.3598,0.34608,0.15388,1.93208,2.25064,2.21137,0.0066461,0.0066461,0.0401201
3,76.601,1.87484,2.01538,1.8743,0.3699,0.5437,0.43732,0.17688,1.84576,2.71226,2.07728,0.00994696,0.00994696,0.0100876
4,96.4923,1.84506,1.91012,1.84103,0.66435,0.4479,0.54827,0.25792,1.81732,1.84365,2.10811,0.00991232,0.00991232,0.00991232
5,116.248,1.81044,1.82686,1.82753,0.47148,0.56673,0.62424,0.28959,1.77173,1.53832,1.95675,0.00984449,0.00984449,0.00984449
6,136.369,1.74463,1.74041,1.75944,0.72494,0.49047,0.62224,0.30622,1.74037,1.44466,1.92705,0.00975773,0.00975773,0.00975773
7,156.356,1.71372,1.64886,1.73236,0.53688,0.71155,0.69183,0.36126,1.58302,1.32123,1.83067,0.00965239,0.00965239,0.00965239
8,176.213,1.69866,1.64016,1.72692,0.75033,0.67754,0.74262,0.38105,1.6027,1.24491,1.77094,0.00952889,0.00952889,0.00952889
9,196.041,1.67529,1.54743,1.69144,0.60565,0.6992,0.70505,0.35623,1.68546,1.25597,1.83628,0.00938772,0.00938772,0.00938772
10,215.818,1.69509,1.56173,1.71705,0.6039,0.66287,0.6738,0.3678,1.53902,1.30731,1.7609,0.00922942,0.00922942,0.00922942
11,235.633,1.6315,1.4823,1.66515,0.57756,0.76613,0.70463,0.36852,1.58594,1.36771,1.78822,0.00905463,0.00905463,0.00905463
12,255.451,1.62611,1.48757,1.66846,0.67011,0.76437,0.73393,0.39062,1.51477,1.27673,1.74681,0.00886404,0.00886404,0.00886404
13,275.444,1.59724,1.41622,1.65161,0.72101,0.7147,0.756,0.40383,1.51216,1.17657,1.69837,0.00865839,0.00865839,0.00865839
14,295.343,1.61474,1.42416,1.65502,0.64259,0.73101,0.76329,0.42089,1.48229,1.1781,1.7193,0.00843851,0.00843851,0.00843851
15,315.361,1.57936,1.36503,1.6195,0.71078,0.76457,0.78565,0.45181,1.47827,1.08747,1.68829,0.00820525,0.00820525,0.00820525
16,335.318,1.58001,1.36713,1.62015,0.55716,0.73004,0.71987,0.3973,1.5143,1.19319,1.73932,0.00795954,0.00795954,0.00795954
17,355.214,1.58303,1.38018,1.61214,0.54138,0.84525,0.77388,0.41114,1.5775,1.22897,1.80906,0.00770234,0.00770234,0.00770234
18,375.102,1.55197,1.34732,1.61709,0.74542,0.75716,0.7759,0.43104,1.52064,1.0443,1.71486,0.00743468,0.00743468,0.00743468
19,395.078,1.55474,1.31097,1.59915,0.67643,0.80293,0.7938,0.43129,1.53025,1.08107,1.70546,0.00715761,0.00715761,0.00715761
20,414.906,1.52343,1.27185,1.57501,0.71146,0.80507,0.81587,0.46208,1.48824,1.04515,1.70187,0.00687222,0.00687222,0.00687222
21,434.726,1.51389,1.24688,1.56529,0.80559,0.67793,0.77952,0.42599,1.54457,1.07223,1.76525,0.00657963,0.00657963,0.00657963
22,454.81,1.52105,1.25031,1.57594,0.79374,0.72507,0.81652,0.48359,1.4942,1.00148,1.68302,0.00628101,0.00628101,0.00628101
23,474.817,1.51795,1.24553,1.57135,0.66228,0.78582,0.81611,0.47209,1.45992,1.045,1.66123,0.00597754,0.00597754,0.00597754
24,494.714,1.49687,1.22539,1.55809,0.76969,0.7528,0.80625,0.46488,1.46617,1.03549,1.67123,0.0056704,0.0056704,0.0056704
25,514.613,1.47391,1.19827,1.54384,0.65853,0.86843,0.81532,0.47719,1.42334,0.96862,1.64267,0.00536081,0.00536081,0.00536081
26,534.396,1.47723,1.20517,1.54639,0.65953,0.83748,0.79958,0.47652,1.42644,0.97425,1.62683,0.00505,0.00505,0.00505
27,554.252,1.46768,1.16098,1.53087,0.61325,0.89033,0.83085,0.49887,1.41464,0.94905,1.62055,0.00473919,0.00473919,0.00473919
28,574.134,1.45889,1.17111,1.5283,0.63298,0.86682,0.83666,0.49909,1.43624,0.9488,1.63395,0.0044296,0.0044296,0.0044296
29,594.101,1.4694,1.16555,1.53527,0.67134,0.86596,0.81509,0.48127,1.42897,0.95643,1.63607,0.00412246,0.00412246,0.00412246
30,614.255,1.45421,1.15105,1.52899,0.63701,0.89469,0.83205,0.49521,1.41936,0.93972,1.62834,0.00381899,0.00381899,0.00381899
31,634.177,1.43984,1.13433,1.5258,0.7038,0.86838,0.83554,0.49833,1.43581,0.91106,1.64436,0.00352037,0.00352037,0.00352037
32,654.194,1.42906,1.11046,1.51037,0.70274,0.85741,0.82854,0.50646,1.39861,0.8748,1.60757,0.00322778,0.00322778,0.00322778
33,673.971,1.40942,1.09031,1.50158,0.71204,0.86978,0.84505,0.51684,1.41752,0.87822,1.61813,0.00294239,0.00294239,0.00294239
34,693.849,1.40111,1.0759,1.48423,0.66906,0.86623,0.83908,0.51641,1.4008,0.86213,1.59241,0.00266532,0.00266532,0.00266532
35,713.834,1.40074,1.08153,1.49711,0.64121,0.84851,0.82605,0.49929,1.43254,0.91856,1.6144,0.00239766,0.00239766,0.00239766
36,733.638,1.38876,1.07661,1.48536,0.68252,0.87824,0.82547,0.51088,1.35932,0.90759,1.566,0.00214046,0.00214046,0.00214046
37,753.443,1.38552,1.05193,1.46909,0.61385,0.93851,0.83102,0.50631,1.38287,0.87197,1.58566,0.00189475,0.00189475,0.00189475
38,773.698,1.37541,1.0419,1.46662,0.69594,0.87163,0.82827,0.51038,1.37889,0.85898,1.58261,0.00166149,0.00166149,0.00166149
39,793.683,1.36973,1.04504,1.46674,0.70055,0.88929,0.84432,0.52779,1.3584,0.8388,1.56748,0.00144161,0.00144161,0.00144161
40,813.569,1.359,1.01481,1.46239,0.71506,0.86334,0.8264,0.5174,1.38688,0.84308,1.58316,0.00123596,0.00123596,0.00123596
41,833.986,1.29207,0.83441,1.4942,0.70958,0.87013,0.8255,0.51947,1.32332,0.85842,1.54057,0.00104537,0.00104537,0.00104537
42,853.626,1.27415,0.80633,1.48871,0.66384,0.87214,0.8238,0.51747,1.33057,0.85606,1.54601,0.000870577,0.000870577,0.000870577
43,873.295,1.26356,0.7886,1.476,0.67025,0.89906,0.83744,0.53043,1.33449,0.85012,1.54368,0.000712282,0.000712282,0.000712282
44,892.915,1.25153,0.78386,1.46255,0.67599,0.88677,0.83437,0.52908,1.32136,0.82659,1.53193,0.000571106,0.000571106,0.000571106
45,912.772,1.23305,0.77545,1.44882,0.68268,0.90267,0.83002,0.53012,1.31204,0.82231,1.53427,0.000447606,0.000447606,0.000447606
46,932.649,1.23235,0.76373,1.45545,0.68588,0.90467,0.83277,0.53166,1.31176,0.8117,1.5258,0.00034227,0.00034227,0.00034227
